iter	Logloss
0	0.673472737
1	0.6581010511
2	0.6432688836
3	0.6340685245
4	0.624262303
5	0.6168870078
6	0.6103565743
7	0.6051694042
8	0.6002230265
9	0.5959889435
10	0.5931029045
11	0.5895166101
12	0.5873069934
13	0.5848849807
14	0.5829157671
15	0.5811722407
16	0.5795021416
17	0.5783929759
18	0.5770082939
19	0.5755404704
20	0.5743589422
21	0.5737535914
22	0.572613628
23	0.5717409403
24	0.571240853
25	0.5704503195
26	0.56979385
27	0.5692098105
28	0.5690217813
29	0.5683921138
30	0.5680638175
31	0.5677219009
32	0.5671526825
33	0.5667830708
34	0.5665486432
35	0.5663669982
36	0.5659549753
37	0.5657589669
38	0.5654040027
39	0.5651856512
40	0.5649227093
41	0.5645295992
42	0.5643172401
43	0.5641604322
44	0.5630489458
45	0.5623651935
46	0.5621848195
47	0.5619266186
48	0.5617721999
49	0.5614834297
50	0.5613743315
51	0.5612446748
52	0.5611343025
53	0.5609647536
54	0.5609819756
55	0.5607165234
56	0.5605296509
57	0.5606120797
58	0.5604000057
59	0.5598842559
60	0.5598726095
61	0.5598268079
62	0.5597126543
63	0.5595596251
64	0.5594255214
65	0.5589206761
66	0.5589119027
67	0.5586960706
68	0.5583756538
69	0.5581916411
70	0.5580567426
71	0.5579897157
72	0.5578827494
73	0.5577828155
74	0.5576268088
75	0.5576618488
76	0.5575112747
77	0.5574691511
78	0.5573415336
79	0.557246928
80	0.5571665929
81	0.5570337626
82	0.5569153065
83	0.5567745078
84	0.5567231823
85	0.5566741286
86	0.5563972651
87	0.5563707512
88	0.55627886
89	0.5561813148
90	0.5560427117
91	0.5560227359
92	0.5559552035
93	0.5559243751
94	0.5558542165
95	0.5558063743
96	0.555809181
97	0.5556217763
98	0.5555134965
99	0.5552469636
