iter	Passed	Remaining
0	967	95796
1	1183	58012
2	1402	45342
3	1596	38327
4	1785	33925
5	1977	30973
6	2176	28914
7	2374	27308
8	2566	25947
9	2749	24749
10	2945	23831
11	3126	22925
12	3326	22260
13	3513	21582
14	3709	21019
15	3893	20442
16	4083	19936
17	4260	19410
18	4449	18968
19	4638	18554
20	4838	18202
21	5012	17770
22	5224	17489
23	5401	17105
24	5610	16832
25	5792	16485
26	5991	16199
27	6175	15879
28	6384	15631
29	6569	15328
30	6767	15062
31	7105	15098
32	7401	15026
33	7628	14808
34	7805	14495
35	8055	14320
36	8250	14048
37	8477	13831
38	8700	13608
39	8889	13333
40	9095	13088
41	9284	12821
42	9483	12571
43	9685	12326
44	9903	12103
45	10133	11896
46	10308	11624
47	10523	11399
48	10737	11175
49	10968	10968
50	11203	10763
51	11417	10539
52	11622	10306
53	11837	10083
54	12073	9878
55	12288	9655
56	12550	9467
57	12761	9240
58	12970	9013
59	13169	8779
60	13363	8543
61	13550	8305
62	13742	8070
63	13932	7836
64	14164	7626
65	14345	7390
66	14549	7166
67	14722	6928
68	14913	6700
69	15092	6468
70	15300	6249
71	15479	6019
72	15668	5795
73	15865	5574
74	16065	5355
75	16239	5128
76	16429	4907
77	16608	4684
78	16800	4465
79	16983	4245
80	17172	4028
81	17345	3807
82	17545	3593
83	17763	3383
84	18001	3176
85	18190	2961
86	18394	2748
87	18600	2536
88	18843	2329
89	19049	2116
90	19309	1909
91	19545	1699
92	19734	1485
93	19934	1272
94	20121	1059
95	20305	846
96	20498	633
97	20720	422
98	20926	211
99	21137	0
